Finished reading inputs
Log likelihood: -8954.17
Log likelihood: -360.281
Log likelihood: -1738.94
Log likelihood: -40131.1
Log likelihood: -1393.27
Log likelihood: -462.895
Log likelihood: -684.046
Log likelihood: -9696.83
Log likelihood: -3053.12
Log likelihood: -3694.13
Log likelihood: -340.784
Log likelihood: -5211.84
Log likelihood: -1166.57
Log likelihood: -3571.41
Log likelihood: -540.172
Log likelihood: -3757.67
Log likelihood: -2521.53
Log likelihood: -690.104
Log likelihood: -13153.2
Log likelihood: -10659.8
Log likelihood: -757.993
Log likelihood: -1466.24
Log likelihood: -1020.37
Log likelihood: -20570.5
Log likelihood: -2750.82
Log likelihood: -1714.64
Log likelihood: -15944.6
Log likelihood: -398.913
Log likelihood: -825.684
Log likelihood: -574.411
Log likelihood: -2466.66
Log likelihood: -1430.07
Log likelihood: -2898.68
Log likelihood: -3100.24
Log likelihood: -541.242
Log likelihood: -1691.95
Log likelihood: -4326.92
Log likelihood: -1741.11
Log likelihood: -2243.8
Log likelihood: -2881.72
Log likelihood: -131.468
Log likelihood: -720.648
Log likelihood: -750.77
Log likelihood: -1819.41
Log likelihood: -1033.72
Log likelihood: -1968.29
Log likelihood: -5298.87
Log likelihood: -2617.58
Log likelihood: -2097.65
Log likelihood: -204.612
Log likelihood: -516.993
Log likelihood: -1184.34
Log likelihood: -2213.2
Log likelihood: -4051
Log likelihood: -15530.6
Log likelihood: -11194.6
Log likelihood: -666.923
Log likelihood: -2745.37
Log likelihood: -26445.6
Log likelihood: -400.579
Log likelihood: -1176.26
Log likelihood: -533.367
Log likelihood: -885.81
Log likelihood: -2833.11
Log likelihood: -409.108
Log likelihood: -2950.3
Log likelihood: -3154.64
Log likelihood: -331.868
Log likelihood: -358.619
Log likelihood: -3267.36
Log likelihood: -1278.4
Log likelihood: -1372.8
Log likelihood: -1659.26
Log likelihood: -317.33
Log likelihood: -5729.46
Log likelihood: -1972.54
Log likelihood: -434.928
Log likelihood: -696.728
Log likelihood: -1677.22
Log likelihood: -428.365
Log likelihood: -1736.78
Log likelihood: -1142.94
Log likelihood: -5235.67
Log likelihood: -737.621
Log likelihood: -753.37
Log likelihood: -1325.09
Log likelihood: -573.876
Log likelihood: -3239.85
Log likelihood: -8398.48
Log likelihood: -9250.96
Completed simulation 701
Log likelihood: -6327.84
Log likelihood: -570.262
Log likelihood: -1238.32
Log likelihood: -4478.99
Log likelihood: -900.191
Log likelihood: -1258.2
Log likelihood: -8900.68
Log likelihood: -1119.02
Log likelihood: -2267.13
Log likelihood: -722.313
Log likelihood: -434.231
Log likelihood: -783.054
Log likelihood: -1520.8
Log likelihood: -2399.21
Log likelihood: -16686.5
Log likelihood: -728.865
Log likelihood: -8501.38
Log likelihood: -6472.61
Log likelihood: -2147.97
Log likelihood: -4712.16
Log likelihood: -4175.12
Log likelihood: -703.215
Log likelihood: -204.424
Log likelihood: -2605.4
Log likelihood: -4805.02
Log likelihood: -131.063
Log likelihood: -10407
Log likelihood: -1099.63
Log likelihood: -916.889
Log likelihood: -1004.65
Log likelihood: -2973.29
Log likelihood: -2438.63
Log likelihood: -574.381
Log likelihood: -834.849
Log likelihood: -10834.9
Log likelihood: -11996.5
Log likelihood: -1095.6
Log likelihood: -3750.46
Log likelihood: -982.332
Log likelihood: -1107.74
Log likelihood: -1102.62
Log likelihood: -1173.91
Log likelihood: -185.872
Log likelihood: -22558.8
Log likelihood: -5011.13
Log likelihood: -862.104
Log likelihood: -1323.51
Log likelihood: -16108.4
Log likelihood: -436.304
Log likelihood: -1450.89
Log likelihood: -865.682
Log likelihood: -372.744
Log likelihood: -8406.43
Log likelihood: -872.879
Log likelihood: -20845
Log likelihood: -958.197
Log likelihood: -113.957
Log likelihood: -1563.16
Log likelihood: -289.149
Log likelihood: -3648.25
Log likelihood: -619.091
Log likelihood: -2553.07
Log likelihood: -15972.7
Log likelihood: -2041.32
Log likelihood: -2314.59
Log likelihood: -31337.1
Log likelihood: -361.376
Log likelihood: -9641.16
Log likelihood: -1137.12
Log likelihood: -491.945
Log likelihood: -18741
Log likelihood: -7283.65
Log likelihood: -11243.4
Log likelihood: -1102.63
Log likelihood: -297.773
Log likelihood: -2917.76
Log likelihood: -208.179
Log likelihood: -256.529
Log likelihood: -652.038
Log likelihood: -15645.1
Log likelihood: -1593.84
Log likelihood: -629.365
Log likelihood: -689.794
Log likelihood: -1916.78
Log likelihood: -2717.06
Log likelihood: -1045.31
Log likelihood: -506.922
Log likelihood: -24162.8
Log likelihood: -2163.61
Log likelihood: -3330.31
Log likelihood: -4623.79
Log likelihood: -1378.88
Log likelihood: -587.716
Log likelihood: -1761.81
Log likelihood: -1442.72
Log likelihood: -24718.8
Log likelihood: -2463.54
Log likelihood: -301.545
Log likelihood: -1320.39
Log likelihood: -5957.2
Completed simulation 801
Log likelihood: -10626.6
Log likelihood: -291.196
Log likelihood: -2658.82
Log likelihood: -3186.58
Log likelihood: -11536.8
